step,intersection_id,phase,total_queue_length,avg_waiting_time
133,INT_02,EW_GREEN,1,3.8444444444444446
134,INT_01,NS_GREEN,1,7.377777777777778
134,INT_02,EW_GREEN,1,3.8444444444444446
135,INT_01,EW_GREEN,0,7.413043478260869
135,INT_02,EW_GREEN,1,3.8444444444444446
136,INT_01,EW_GREEN,0,7.413043478260869
136,INT_02,EW_GREEN,1,3.760869565217391
137,INT_01,EW_GREEN,0,7.413043478260869
137,INT_02,EW_GREEN,1,3.760869565217391
138,INT_01,EW_GREEN,0,7.413043478260869
138,INT_02,EW_GREEN,1,3.760869565217391
139,INT_01,EW_GREEN,0,7.25531914893617
139,INT_02,EW_GREEN,1,3.760869565217391
140,INT_01,EW_GREEN,0,7.25531914893617
140,INT_02,NS_GREEN,0,3.872340425531915
141,INT_01,EW_GREEN,1,7.25531914893617
141,INT_02,NS_GREEN,0,3.872340425531915
142,INT_01,EW_GREEN,2,7.25531914893617
142,INT_02,NS_GREEN,0,3.872340425531915
143,INT_01,EW_GREEN,3,7.25531914893617
143,INT_02,NS_GREEN,1,3.872340425531915
144,INT_01,EW_GREEN,2,7.166666666666667
144,INT_02,NS_GREEN,1,3.872340425531915
145,INT_01,EW_GREEN,2,7.166666666666667
145,INT_02,NS_GREEN,1,3.872340425531915
146,INT_01,EW_GREEN,1,7.1020408163265305
146,INT_02,NS_GREEN,1,3.872340425531915
147,INT_01,EW_GREEN,1,7.1020408163265305
147,INT_02,NS_GREEN,1,3.872340425531915
148,INT_01,EW_GREEN,1,7.1020408163265305
148,INT_02,NS_GREEN,1,3.872340425531915
149,INT_01,EW_GREEN,2,7.1020408163265305
149,INT_02,NS_GREEN,1,3.872340425531915
150,INT_01,NS_GREEN,1,7.1
150,INT_02,EW_GREEN,0,3.9375
151,INT_01,NS_GREEN,1,7.1
151,INT_02,EW_GREEN,1,3.9375
152,INT_01,NS_GREEN,1,7.1
152,INT_02,EW_GREEN,1,3.9375
153,INT_01,NS_GREEN,1,7.1
153,INT_02,EW_GREEN,1,3.9375
